./20170609085543088.png:      PNG image data, 51 x 50, 8-bit grayscale, non-interlaced
./20170609085546108.png:      PNG image data, 43 x 48, 8-bit grayscale, non-interlaced
./20170609085549041.png:      PNG image data, 25 x 23, 8-bit grayscale, non-interlaced
./20170609085553524.png:      PNG image data, 17 x 17, 8-bit grayscale, non-interlaced
./20170609085559371.png:      PNG image data, 27 x 25, 8-bit grayscale, non-interlaced
./20170609085602136.png:      PNG image data, 16 x 17, 8-bit grayscale, non-interlaced
./20170609085602136b.png:     PNG image data, 42 x 38, 8-bit grayscale, non-interlaced
./20170609085611029.png:      PNG image data, 44 x 44, 8-bit grayscale, non-interlaced
./20170609085612476l.png:     PNG image data, 25 x 26, 8-bit grayscale, non-interlaced
./20170609085618346.png:      PNG image data, 38 x 34, 8-bit grayscale, non-interlaced
./20170609085621219.png:      PNG image data, 45 x 46, 8-bit grayscale, non-interlaced
./20170609085630931.png:      PNG image data, 13 x 12, 8-bit grayscale, non-interlaced
./20170609085642889.png:      PNG image data, 20 x 21, 8-bit grayscale, non-interlaced
./20170609085644362.png:      PNG image data, 42 x 38, 8-bit grayscale, non-interlaced
./20170609085647058.png:      PNG image data, 44 x 40, 8-bit grayscale, non-interlaced
./20170609085647058l.png:     PNG image data, 60 x 76, 8-bit grayscale, non-interlaced
./20170609085648479.png:      PNG image data, 42 x 109, 8-bit grayscale, non-interlaced
./20170609085648479b.png:     PNG image data, 39 x 34, 8-bit grayscale, non-interlaced
./20170609085654152.png:      PNG image data, 32 x 30, 8-bit grayscale, non-interlaced
./20170609085654152b.png:     PNG image data, 51 x 50, 8-bit grayscale, non-interlaced
./20170609085658634.png:      PNG image data, 58 x 59, 8-bit grayscale, non-interlaced
./20170609085700110.png:      PNG image data, 36 x 32, 8-bit grayscale, non-interlaced
./20170609085703073.png:      PNG image data, 30 x 24, 8-bit grayscale, non-interlaced
./20170609085704466.png:      PNG image data, 30 x 30, 8-bit grayscale, non-interlaced
./20170609085707277.png:      PNG image data, 59 x 59, 8-bit grayscale, non-interlaced
./20170609085707277l.png:     PNG image data, 24 x 23, 8-bit grayscale, non-interlaced
./20170609085708727.png:      PNG image data, 29 x 26, 8-bit grayscale, non-interlaced
./20170609085714809.png:      PNG image data, 44 x 41, 8-bit grayscale, non-interlaced
./20170609085714809b.png:     PNG image data, 23 x 13, 8-bit grayscale, non-interlaced
./20170609085726456.png:      PNG image data, 24 x 21, 8-bit grayscale, non-interlaced
./20170609085727930.png:      PNG image data, 44 x 42, 8-bit grayscale, non-interlaced
./20170609085729428.png:      PNG image data, 34 x 49, 8-bit grayscale, non-interlaced
./20170609085732315.png:      PNG image data, 27 x 30, 8-bit grayscale, non-interlaced
./20170609085735249.png:      PNG image data, 45 x 45, 8-bit grayscale, non-interlaced
./20170609085735249b.png:     PNG image data, 93 x 85, 8-bit grayscale, non-interlaced
./20170609085735249c.png:     PNG image data, 39 x 41, 8-bit grayscale, non-interlaced
./20170609085744141.png:      PNG image data, 34 x 34, 8-bit grayscale, non-interlaced
