Time [LST],"Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Depth [salt water, m], lat = 33.00","Beam Transmission, Chelsea/Seatech/WET Labs CStar [%]","Density [sigma-t, Kg/m^3 ]",Altimeter [m],"Oxygen, SBE 43 [ml/l]",Conductivity [S/m],Heading [deg],Pitching [deg],Rolling [deg]
15:09:29,25.5362,41.5815,12.452,79.5112,28.1564,98.58,2.8788,6.246768,321.3236841,0.3312,5.6052
15:09:30,25.5369,41.6014,12.221,79.4868,28.1712,98.58,2.89205,6.24948,322.1787548,0.8568,6.0444
15:09:31,25.5377,41.6045,11.849,79.5112,28.1733,92.45,2.89525,6.249961,321.3589033,0.6372,5.3856
15:09:32,25.5383,41.6239,11.611,79.5112,28.1878,33.38,2.86345,6.252584,319.8762984,0.1116,4.1112
15:09:33,25.5362,41.6832,11.707,79.5357,28.2334,98.58,2.78978,6.260172,317.5303167,0.1116,3.5388
15:09:34,25.5359,41.6293,12.072,79.4868,28.1927,98.58,2.80905,6.25304,316.1478361,0.1116,3.582
15:09:35,25.5366,41.6078,12.057,79.4868,28.1761,53.5,2.91255,6.250274,316.5721972,0.7704,4.284
15:09:36,25.5373,41.5948,11.424,79.4868,28.166,1.71,2.96424,6.248605,314.4157764,0.8568,3.582
15:09:37,25.5456,41.5575,10.553,79.5112,28.1352,3.52,3.01197,6.244644,311.5411182,0.5508,2.88
15:09:38,25.5444,41.5369,10.032,79.5357,28.1199,4.66,3.12957,6.241745,308.2682218,0.1116,1.782
15:09:39,25.5368,41.4832,10.337,79.5112,28.0816,4.71,3.16814,6.23374,305.4245017,-1.4292,1.0332
15:09:40,25.5375,41.4926,10.702,79.4868,28.0885,4.13,3.38912,6.235086,306.23494,-0.99,2.2644
15:09:41,25.5381,41.5228,10.664,79.5112,28.1112,4.15,3.59391,6.239142,307.1250621,1.2096,3.0096
15:09:42,25.5385,41.5075,10.329,79.4868,28.0995,4.88,3.46992,6.237145,305.9977574,0.198,2.88
15:09:43,25.5387,41.5137,9.978,79.5112,28.1042,5.01,3.22651,6.237992,305.9977574,0.2412,2.8368
