./20170606151035416.png:         PNG image data, 28 x 32, 8-bit grayscale, non-interlaced
./20170606151035416b.png:        PNG image data, 27 x 29, 8-bit grayscale, non-interlaced
./20170606151038111.png:         PNG image data, 15 x 16, 8-bit grayscale, non-interlaced
./20170606151042460.png:         PNG image data, 32 x 32, 8-bit grayscale, non-interlaced
./20170606151042460b.png:        PNG image data, 44 x 38, 8-bit grayscale, non-interlaced
./20170606151043962.png:         PNG image data, 26 x 26, 8-bit grayscale, non-interlaced
./20170606151045443.png:         PNG image data, 22 x 22, 8-bit grayscale, non-interlaced
./20170606151046902.png:         PNG image data, 19 x 17, 8-bit grayscale, non-interlaced
./20170606151046902b.png:        PNG image data, 70 x 90, 8-bit grayscale, non-interlaced
./20170606151048289.png:         PNG image data, 52 x 49, 8-bit grayscale, non-interlaced
./20170606151048289b.png:        PNG image data, 83 x 35, 8-bit grayscale, non-interlaced
./20170606151048289c.png:        PNG image data, 28 x 27, 8-bit grayscale, non-interlaced
./20170606151049747.png:         PNG image data, 31 x 32, 8-bit grayscale, non-interlaced
./20170606151049747b.png:        PNG image data, 27 x 89, 8-bit grayscale, non-interlaced
./20170606151050960.png:         PNG image data, 93 x 94, 8-bit grayscale, non-interlaced
./20170606151052133.png:         PNG image data, 22 x 22, 8-bit grayscale, non-interlaced
./20170606151053562.png:         PNG image data, 25 x 25, 8-bit grayscale, non-interlaced
./20170606151055662.png:         PNG image data, 17 x 17, 8-bit grayscale, non-interlaced
./20170606151056916.png:         PNG image data, 34 x 36, 8-bit grayscale, non-interlaced
./20170606151059893.png:         PNG image data, 42 x 36, 8-bit grayscale, non-interlaced
./20170606151059893b.png:        PNG image data, 103 x 119, 8-bit grayscale, non-interlaced
./20170606151059893c.png:        PNG image data, 42 x 96, 8-bit grayscale, non-interlaced
./20170606151101376.png:         PNG image data, 52 x 49, 8-bit grayscale, non-interlaced
./20170606151101376b.png:        PNG image data, 63 x 80, 8-bit grayscale, non-interlaced
./20170606151101376c.png:        PNG image data, 17 x 16, 8-bit grayscale, non-interlaced
./20170606151102824.png:         PNG image data, 16 x 16, 8-bit grayscale, non-interlaced
./20170606151102824b.png:        PNG image data, 24 x 23, 8-bit grayscale, non-interlaced
./20170606151104295.png:         PNG image data, 103 x 77, 8-bit grayscale, non-interlaced
./20170606151104295d.png:        PNG image data, 31 x 37, 8-bit grayscale, non-interlaced
./20170606151107275.png:         PNG image data, 119 x 123, 8-bit grayscale, non-interlaced
./20170606151108530.png:         PNG image data, 15 x 14, 8-bit grayscale, non-interlaced
./20170606151108530b.png:        PNG image data, 15 x 19, 8-bit grayscale, non-interlaced
./20170606151111228.png:         PNG image data, 31 x 53, 8-bit grayscale, non-interlaced
./20170606151112754.png:         PNG image data, 17 x 21, 8-bit grayscale, non-interlaced
./20170606151112754b.png:        PNG image data, 19 x 23, 8-bit grayscale, non-interlaced
./20170606151112754c.png:        PNG image data, 41 x 72, 8-bit grayscale, non-interlaced
./20170606151112754f.png:        PNG image data, 20 x 29, 8-bit grayscale, non-interlaced
./20170606151114143.png:         PNG image data, 40 x 57, 8-bit grayscale, non-interlaced
./20170606151114143b.png:        PNG image data, 20 x 20, 8-bit grayscale, non-interlaced
./20170606151115571.png:         PNG image data, 32 x 29, 8-bit grayscale, non-interlaced
./20170606151115571b.png:        PNG image data, 45 x 40, 8-bit grayscale, non-interlaced
./20170606151115571c.png:        PNG image data, 25 x 23, 8-bit grayscale, non-interlaced
./20170606151117043.png:         PNG image data, 20 x 50, 8-bit grayscale, non-interlaced
./20170606151117043b.png:        PNG image data, 22 x 23, 8-bit grayscale, non-interlaced
./20170606151118567.png:         PNG image data, 35 x 36, 8-bit grayscale, non-interlaced
./20170606151124691.png:         PNG image data, 13 x 11, 8-bit grayscale, non-interlaced
./20170606151124691c.png:        PNG image data, 60 x 59, 8-bit grayscale, non-interlaced
./20170606151126036.png:         PNG image data, 54 x 60, 8-bit grayscale, non-interlaced
./20170606151126036b.png:        PNG image data, 45 x 42, 8-bit grayscale, non-interlaced
./20170606151129069.png:         PNG image data, 12 x 14, 8-bit grayscale, non-interlaced
./20170606151130514.png:         PNG image data, 39 x 41, 8-bit grayscale, non-interlaced
./20170606151130514b.png:        PNG image data, 57 x 69, 8-bit grayscale, non-interlaced
./20170606151130514c.png:        PNG image data, 32 x 36, 8-bit grayscale, non-interlaced
./20170606151131986.png:         PNG image data, 36 x 31, 8-bit grayscale, non-interlaced
./20170606151134922.png:         PNG image data, 24 x 23, 8-bit grayscale, non-interlaced
./20170606151136439.png:         PNG image data, 22 x 25, 8-bit grayscale, non-interlaced
./20170606151139261b.png:        PNG image data, 54 x 52, 8-bit grayscale, non-interlaced
./20170606151139261c.png:        PNG image data, 31 x 27, 8-bit grayscale, non-interlaced
./20170606151140456.png:         PNG image data, 27 x 24, 8-bit grayscale, non-interlaced
./20170606151141908.png:         PNG image data, 34 x 33, 8-bit grayscale, non-interlaced
./20170606151143429b.png:        PNG image data, 49 x 48, 8-bit grayscale, non-interlaced
./20170606151143429c.png:        PNG image data, 20 x 21, 8-bit grayscale, non-interlaced
./20170606151143429d.png:        PNG image data, 23 x 21, 8-bit grayscale, non-interlaced
./20170606151144845.png:         PNG image data, 48 x 48, 8-bit grayscale, non-interlaced
./20170606151147768.png:         PNG image data, 46 x 47, 8-bit grayscale, non-interlaced
./20170606151149098elongata.png: PNG image data, 23 x 22, 8-bit grayscale, non-interlaced
./20170606151151985.png:         PNG image data, 16 x 18, 8-bit grayscale, non-interlaced
./20170606151151985b.png:        PNG image data, 29 x 28, 8-bit grayscale, non-interlaced
./20170606151151985c.png:        PNG image data, 22 x 21, 8-bit grayscale, non-interlaced
./20170606151151985d.png:        PNG image data, 41 x 44, 8-bit grayscale, non-interlaced
./20170606151156458.png:         PNG image data, 38 x 40, 8-bit grayscale, non-interlaced
./20170606151226196.png:         PNG image data, 46 x 43, 8-bit grayscale, non-interlaced
./20170606151227639.png:         PNG image data, 25 x 25, 8-bit grayscale, non-interlaced
./20170606151227639b.png:        PNG image data, 97 x 86, 8-bit grayscale, non-interlaced
./20170606151227639c.png:        PNG image data, 22 x 21, 8-bit grayscale, non-interlaced
./20170606151229136.png:         PNG image data, 59 x 43, 8-bit grayscale, non-interlaced
./20170606151229136b.png:        PNG image data, 49 x 21, 8-bit grayscale, non-interlaced
./20170606151230589.png:         PNG image data, 21 x 22, 8-bit grayscale, non-interlaced
./20170606151233202.png:         PNG image data, 74 x 98, 8-bit grayscale, non-interlaced
./20170606151233202b.png:        PNG image data, 34 x 32, 8-bit grayscale, non-interlaced
./20170606151233202c.png:        PNG image data, 21 x 23, 8-bit grayscale, non-interlaced
./20170606151233202d.png:        PNG image data, 16 x 19, 8-bit grayscale, non-interlaced
./20170606151236227.png:         PNG image data, 13 x 12, 8-bit grayscale, non-interlaced
./20170606151237702.png:         PNG image data, 52 x 90, 8-bit grayscale, non-interlaced
./20170606151237702b.png:        PNG image data, 121 x 88, 8-bit grayscale, non-interlaced
./20170606151237702c.png:        PNG image data, 23 x 26, 8-bit grayscale, non-interlaced
./20170606151239094.png:         PNG image data, 60 x 60, 8-bit grayscale, non-interlaced
./20170606151239094b.png:        PNG image data, 21 x 61, 8-bit grayscale, non-interlaced
./20170606151239094c.png:        PNG image data, 31 x 31, 8-bit grayscale, non-interlaced
./20170606151239094e.png:        PNG image data, 15 x 14, 8-bit grayscale, non-interlaced
./20170606151240596.png:         PNG image data, 30 x 29, 8-bit grayscale, non-interlaced
./20170606151240596c.png:        PNG image data, 32 x 34, 8-bit grayscale, non-interlaced
./20170606151242076.png:         PNG image data, 32 x 31, 8-bit grayscale, non-interlaced
./20170606151242076c.png:        PNG image data, 23 x 23, 8-bit grayscale, non-interlaced
./20170606151242076d.png:        PNG image data, 56 x 72, 8-bit grayscale, non-interlaced
./20170606151243450.png:         PNG image data, 101 x 91, 8-bit grayscale, non-interlaced
./20170606151243450b.png:        PNG image data, 20 x 19, 8-bit grayscale, non-interlaced
./20170606151246375.png:         PNG image data, 17 x 16, 8-bit grayscale, non-interlaced
./20170606151246375b.png:        PNG image data, 29 x 28, 8-bit grayscale, non-interlaced
./20170606151247842.png:         PNG image data, 18 x 18, 8-bit grayscale, non-interlaced
./20170606151247842b.png:        PNG image data, 29 x 29, 8-bit grayscale, non-interlaced
./20170606151247842c.png:        PNG image data, 35 x 34, 8-bit grayscale, non-interlaced
./20170606151249237b.png:        PNG image data, 23 x 20, 8-bit grayscale, non-interlaced
./20170606151249237d.png:        PNG image data, 33 x 35, 8-bit grayscale, non-interlaced
./20170606151250677.png:         PNG image data, 33 x 34, 8-bit grayscale, non-interlaced
./20170606151252112.png:         PNG image data, 15 x 14, 8-bit grayscale, non-interlaced
./20170606151253608.png:         PNG image data, 66 x 65, 8-bit grayscale, non-interlaced
./20170606151253608b.png:        PNG image data, 40 x 36, 8-bit grayscale, non-interlaced
./20170606151253608c.png:        PNG image data, 52 x 56, 8-bit grayscale, non-interlaced
./20170606151255112.png:         PNG image data, 34 x 37, 8-bit grayscale, non-interlaced
./20170606151258050.png:         PNG image data, 32 x 33, 8-bit grayscale, non-interlaced
./20170606151258050b.png:        PNG image data, 52 x 48, 8-bit grayscale, non-interlaced
./20170606151259497.png:         PNG image data, 24 x 36, 8-bit grayscale, non-interlaced
./20170606151302177.png:         PNG image data, 31 x 27, 8-bit grayscale, non-interlaced
./20170606151302177b.png:        PNG image data, 23 x 26, 8-bit grayscale, non-interlaced
./20170606151303649.png:         PNG image data, 21 x 22, 8-bit grayscale, non-interlaced
./20170606151308020.png:         PNG image data, 18 x 20, 8-bit grayscale, non-interlaced
./20170606151309521.png:         PNG image data, 12 x 18, 8-bit grayscale, non-interlaced
./20170606151309521b.png:        PNG image data, 94 x 104, 8-bit grayscale, non-interlaced
./20170606151312490.png:         PNG image data, 37 x 37, 8-bit grayscale, non-interlaced
./20170606151312490b.png:        PNG image data, 44 x 45, 8-bit grayscale, non-interlaced
./20170606151312490c.png:        PNG image data, 36 x 34, 8-bit grayscale, non-interlaced
./20170606151313867.png:         PNG image data, 22 x 25, 8-bit grayscale, non-interlaced
./20170606151313867c.png:        PNG image data, 43 x 47, 8-bit grayscale, non-interlaced
./20170606151313867d.png:        PNG image data, 13 x 13, 8-bit grayscale, non-interlaced
