Time [LST],"Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Depth [salt water, m], lat = 33.00","Beam Transmission, Chelsea/Seatech/WET Labs CStar [%]","Density [sigma-t, Kg/m^3 ]",Altimeter [m],"Oxygen, SBE 43 [ml/l]",Conductivity [S/m],Heading [deg],Pitching [deg],Rolling [deg]
6:06:10,27.7113,35.0684,10.021,80.9023,22.5402,98.61,3.25391,5.602346,128.0902511,-4.4604,3.978
6:06:11,27.7112,35.0697,9.499,80.9023,22.5412,98.61,3.2938,5.602491,128.8089569,-4.5936,3.672
6:06:12,27.7144,35.0682,9.916,80.8779,22.539,98.61,3.26042,5.602644,128.8966375,-7.1424,5.1192
6:06:13,27.7148,35.0702,10.907,80.9267,22.5404,98.61,3.51395,5.603002,131.3298659,-11.0124,6.4836
6:06:14,27.7115,35.0739,12.271,80.9267,22.5442,98.61,4.01873,5.603241,134.8138814,-14.526,7.056
6:06:15,27.7055,35.0789,12.524,80.9267,22.5499,98.61,4.10767,5.603318,131.5411182,-3.0564,1.5588
6:06:16,27.7132,35.0728,11.563,80.9023,22.5429,98.61,3.86825,5.603232,132.669119,-4.1544,3.186
6:06:17,27.7136,35.0719,10.401,80.9267,22.542,98.61,3.6401,5.603095,137.719558,-5.6916,0.0216
6:06:18,27.7138,35.0724,10.058,80.9267,22.5423,98.61,3.62471,5.603172,135.2092214,-6.8796,0.4176
6:06:19,27.715,35.076,10.602,80.9023,22.5446,98.61,3.60471,5.603828,134.8528886,-11.7576,2.2212
6:06:20,27.7165,35.0767,11.682,80.9267,22.5447,98.58,3.92788,5.604135,135.1704559,-16.2864,3.0564
6:06:21,27.7168,35.0759,12.866,80.9023,22.544,98.61,4.21514,5.604101,133.1605322,-13.5612,3.0096
6:06:22,27.7168,35.0772,13.097,80.9267,22.545,98.58,4.05019,5.604297,122.6225805,-2.2644,1.4724
6:06:23,27.7165,35.0783,12.769,80.9267,22.5459,98.58,3.67278,5.604416,122.6735594,-5.472,2.394
6:06:24,27.7161,35.0791,12.247,80.9267,22.5467,98.61,3.51386,5.604467,120.2631342,-5.9544,2.7036
6:06:25,27.7155,35.0805,11.808,80.9023,22.5479,98.58,3.39265,5.604578,118.8412043,-6.0876,2.79
6:06:26,27.7144,35.0823,11.733,80.9267,22.5496,98.58,3.27466,5.604705,119.303427,-6.8364,2.3076
6:06:27,27.7147,35.0833,12.06,80.9511,22.5503,98.61,3.13974,5.604901,116.429849,-6.4404,3.7152
6:06:28,27.714,35.0848,12.485,80.9267,22.5516,98.61,3.18882,5.605063,115.9835328,-6.4404,4.4604
6:06:29,27.7107,35.0877,12.812,80.9023,22.5549,98.58,3.55539,5.605132,115.5352833,-5.868,4.4604
6:06:30,27.7095,35.0896,12.82,80.9267,22.5567,98.58,3.6281,5.605268,116.1764193,-5.562,3.7152
6:06:31,27.7067,35.0926,12.432,80.9267,22.5598,98.58,3.41186,5.605378,115.2735149,-4.284,3.3624
6:06:32,27.7033,35.0951,11.992,80.9023,22.5628,98.58,3.35494,5.605361,113.3009243,-3.582,4.0212
6:06:33,27.7016,35.0975,11.85,80.9267,22.5652,98.58,3.24667,5.605506,111.8440559,-3.2292,5.166
6:06:34,27.6904,35.1058,12.044,80.9023,22.575,98.58,3.11995,5.605506,113.5832113,-3.9348,5.7348
6:06:35,27.6851,35.106,12.431,80.9267,22.577,98.58,3.10602,5.604987,116.429849,-4.8996,5.2956
6:06:36,27.6922,35.1,12.714,80.9267,22.5701,98.58,3.11659,5.604902,118.4347433,-4.1112,4.1544
6:06:37,27.6913,35.1022,12.721,80.9267,22.572,98.58,3.16131,5.605123,119.6990187,-3.4956,3.672
6:06:38,27.6944,35.1014,12.445,80.9023,22.5705,98.58,3.29216,5.605328,119.9249035,-2.6604,3.672
6:06:39,27.7023,35.097,12.147,80.9267,22.5646,98.58,3.39725,5.605532,120.1492517,-2.1312,4.1976
6:06:40,27.708,35.0936,12.012,80.9267,22.5602,98.58,3.30304,5.605651,120.9741035,-2.9232,4.3308
6:06:41,27.7111,35.0911,12.094,80.9511,22.5573,98.58,3.19172,5.605617,121.5131744,-2.9232,4.1112
6:06:42,27.7092,35.0945,12.361,80.9267,22.5605,98.58,3.15809,5.605923,122.8809939,-3.1428,3.5388
6:06:43,27.7103,35.0956,12.629,80.9511,22.561,98.58,3.11312,5.606196,123.1376168,-2.6136,3.186
6:06:44,27.711,35.0957,12.673,80.9511,22.5608,98.58,3.09333,5.60629,121.4605192,-1.6488,3.4956
6:06:45,27.7105,35.0962,12.375,80.9267,22.5613,98.58,3.14491,5.606298,120.3176602,-0.8568,3.0996
6:06:46,27.7094,35.0973,11.905,80.9267,22.5625,98.58,3.16056,5.606315,121.0852534,-1.9116,3.5388
6:06:47,27.7098,35.0973,11.726,80.9267,22.5624,98.58,3.17477,5.606349,123.2924187,-3.6252,3.186
6:06:48,27.7111,35.0972,12.068,80.9267,22.5619,98.58,3.20312,5.606485,124.8390548,-4.8996,3.186
6:06:49,27.7078,35.1004,12.671,80.9023,22.5654,98.58,3.19706,5.606622,124.3465688,-4.8132,3.4488
6:06:50,27.7071,35.1011,12.968,80.9023,22.5661,98.58,3.16558,5.606656,123.1376168,-2.3508,2.7468
6:06:51,27.7074,35.1005,12.678,80.8047,22.5656,98.58,3.13202,5.606588,124.5451091,-2.0448,2.0016
6:06:52,27.7081,35.0994,12.044,80.8535,22.5646,98.58,3.05455,5.606485,125.5665966,-3.0996,2.2212
6:06:53,27.7101,35.099,11.618,80.9267,22.5635,98.61,3.04671,5.606621,125.1825916,-3.8448,2.7036
6:06:54,27.7115,35.1008,11.678,80.9511,22.5644,98.61,3.48738,5.607021,124.593579,-4.5504,2.8368
6:06:55,27.7114,35.1017,12.079,80.9511,22.5652,98.61,4.30799,5.607149,124.5451091,-5.166,2.5272
6:06:56,27.7125,35.1018,12.473,80.9023,22.5649,98.58,4.55199,5.607311,124.1959809,-4.4172,2.1744
6:06:57,27.7125,35.1024,12.592,80.9267,22.5653,98.61,4.44333,5.607388,122.9821716,-4.2408,2.5272
6:06:58,27.712,35.1031,12.48,80.9511,22.566,98.58,4.39925,5.607439,121.7273696,-4.2408,2.7036
6:06:59,27.7114,35.1039,12.248,80.9267,22.5668,98.61,4.39826,5.607473,120.0944495,-3.6252,2.6136
6:07:00,27.7112,35.1045,12.083,80.9267,22.5673,98.58,4.37355,5.607524,119.2471865,-3.0996,2.2212
6:07:01,27.7093,35.1058,12.016,80.9267,22.569,98.58,4.35537,5.607516,117.3570637,-2.9232,2.8368
6:07:02,27.707,35.1074,11.978,80.9267,22.5709,98.61,4.36487,5.607499,115.8577017,-3.4488,3.186
6:07:03,27.7076,35.1075,12.096,80.9267,22.5708,98.61,4.37766,5.607575,116.3679938,-4.1544,3.672
6:07:04,27.7073,35.1078,12.349,80.9511,22.5711,98.58,4.38267,5.607593,115.662587,-3.5388,3.4056
6:07:05,27.7089,35.1074,12.445,80.9267,22.5703,98.58,4.36652,5.60772,115.471409,-2.9232,3.0564
6:07:06,27.7084,35.1083,12.302,80.9023,22.5711,98.58,4.35794,5.607788,115.7312979,-2.9232,3.7152
6:07:07,27.7086,35.1087,12.086,80.9511,22.5713,98.58,4.38152,5.607856,116.1140067,-2.9232,3.4488
6:07:08,27.7085,35.1092,12.048,80.9511,22.5718,98.58,4.37997,5.607907,116.429849,-3.3624,4.1544
6:07:09,27.7085,35.1096,12.315,80.9267,22.5721,98.58,4.38467,5.607976,118.0180074,-3.7152,4.0644
6:07:10,27.7074,35.1105,12.486,80.9511,22.5731,98.58,4.35896,5.607993,117.9594049,-2.79,3.8916
6:07:11,27.7076,35.1108,12.239,80.9511,22.5733,98.58,4.34604,5.608061,119.0165066,-2.1312,3.7152
6:07:12,27.7006,35.1144,11.755,80.9023,22.5783,98.58,4.37015,5.607797,118.78414,-1.9116,3.672
6:07:13,27.6988,35.1155,11.628,80.9267,22.5797,98.58,4.38294,5.607763,119.1908472,-3.186,3.672
6:07:14,27.6992,35.1157,12.081,80.9511,22.5797,98.58,4.36856,5.607848,119.4762195,-3.8916,4.1976
6:07:15,27.6946,35.1178,12.684,80.8779,22.5828,98.58,4.37975,5.607687,118.5500454,-3.582,4.284
6:07:16,27.6947,35.1182,12.833,80.9267,22.583,98.58,4.38255,5.607755,119.5320627,-3.0564,3.4956
6:07:17,27.693,35.1193,12.393,80.9267,22.5844,98.58,4.37206,5.607721,120.8670605,-3.3192,3.8016
6:07:18,27.6935,35.1195,11.834,80.9267,22.5844,98.58,4.37173,5.60778,121.244684,-3.0564,3.8016
6:07:19,27.6953,35.1195,11.632,80.9267,22.5838,98.58,4.38337,5.60795,121.9922248,-3.0564,3.582
6:07:20,27.6968,35.1193,11.758,80.9023,22.5832,98.58,4.41345,5.608086,123.9464341,-3.9348,4.0212
6:07:21,27.6994,35.1181,12.033,80.9267,22.5814,98.58,4.39735,5.608206,127.2198887,-4.68,2.9232
6:07:22,27.7032,35.1151,12.301,80.9511,22.5779,98.58,4.36905,5.608197,129.6927838,-4.4172,2.3076
6:07:23,27.7054,35.1135,12.465,80.9267,22.576,98.58,4.37269,5.608206,129.4301013,-2.5704,1.9116
6:07:24,27.7056,35.1136,12.42,80.9023,22.576,98.58,4.36809,5.60824,128.8966375,-2.3076,2.2644
6:07:25,27.702,35.1169,12.077,80.9511,22.5797,98.58,4.36471,5.608308,127.6797139,-1.9116,2.5704
6:07:26,27.7064,35.1136,11.734,80.9511,22.5758,98.58,4.38044,5.608308,128.1793243,-2.88,2.088
6:07:27,27.7072,35.1137,11.838,80.9511,22.5755,98.58,4.37467,5.608401,128.987795,-4.0644,1.782
6:07:28,27.7054,35.1149,12.293,80.9267,22.5771,98.58,4.35462,5.60841,125.7592155,-4.1976,2.9232
6:07:29,27.7048,35.1153,12.561,80.9267,22.5776,98.58,4.36665,5.60841,122.9821716,-3.1428,3.276
6:07:30,27.7069,35.1144,12.285,80.9267,22.5762,98.58,4.38099,5.608487,122.7753057,-2.9232,3.3192
6:07:31,27.7037,35.1166,11.763,80.9267,22.5789,98.58,4.37812,5.608435,122.5161461,-2.9664,2.9232
6:07:32,27.6995,35.1193,11.465,80.9267,22.5823,98.58,4.36873,5.608376,121.8882543,-3.186,2.394
6:07:33,27.6983,35.12,11.652,80.9267,22.5832,98.58,4.3923,5.608342,122.6225805,-4.5504,2.5272
6:07:34,27.6985,35.1202,12.15,80.9511,22.5833,98.58,4.381,5.60841,122.5161461,-5.0328,2.9232
6:07:35,27.697,35.1212,12.553,80.9511,22.5845,98.58,4.38493,5.60841,120.7552005,-4.1112,3.4488
6:07:36,27.698,35.121,12.649,80.9267,22.584,98.58,4.38523,5.608487,121.3020766,-4.0212,3.3192
6:07:37,27.6997,35.1201,12.463,80.9511,22.5828,98.58,4.36558,5.608538,121.3020766,-3.6252,3.582
6:07:38,27.6991,35.1202,12.09,80.9511,22.5831,98.58,4.37971,5.608478,120.3176602,-3.0996,3.276
6:07:39,27.6978,35.121,11.68,80.9267,22.5841,98.58,4.39081,5.608427,121.244684,-3.8916,3.186
6:07:40,27.6981,35.1208,11.427,80.9267,22.5838,98.58,4.37363,5.608427,120.9741035,-3.8016,3.8016
6:07:41,27.6971,35.1227,11.419,80.9511,22.5856,98.58,4.36848,5.60858,120.3720976,-3.4056,3.4056
6:07:42,27.6976,35.1224,11.791,80.9267,22.5853,98.58,4.39236,5.608614,120.7552005,-3.8916,4.0644
6:07:43,27.7166,35.1136,12.461,80.9267,22.5724,98.58,4.38931,5.609407,123.7984004,-4.8996,3.4956
6:07:44,27.7197,35.112,12.99,80.9267,22.5702,98.58,4.394,5.609535,124.6903409,-3.4056,2.7468
6:07:45,27.714,35.1148,12.915,80.9267,22.5742,98.58,4.38847,5.60933,125.2302947,-2.9232,2.4408
