Time [LST],"Temperature [ITS-90, deg C]","Salinity, Practical [PSU]","Depth [salt water, m], lat = 33.00","Beam Transmission, Chelsea/Seatech/WET Labs CStar [%]","Density [sigma-t, Kg/m^3 ]",Altimeter [m],"Oxygen, SBE 43 [ml/l]",Conductivity [S/m],Heading [deg],Pitching [deg],Rolling [deg]
7:43:19,26.2808,35.0236,7.394,80.7315,22.9633,42.03,2.11741,5.444894,277.8117448,-4.9464,7.2324
7:43:20,26.2783,35.026,7.282,80.7315,22.9658,1.59,2.10353,5.444953,276.4654184,-4.8996,7.1856
7:43:21,26.2494,35.0489,7.215,80.7315,22.9922,1.64,2.09021,5.445071,276.2164054,-4.77,6.8364
7:43:22,26.2057,35.0832,7.223,80.7803,23.0318,2.2,2.08118,5.445215,276.4654184,-4.77,7.2324
7:43:23,26.227,35.0681,7.26,80.7559,23.0137,2.03,2.07427,5.445366,276.2164054,-5.2092,7.056
7:43:24,26.2571,35.0448,7.29,80.7071,22.9867,1.64,2.08807,5.445324,263.5345816,-5.9112,7.056
7:43:25,26.268,35.037,7.349,80.5851,22.9774,47.03,2.09778,5.445399,262.1882552,-5.5152,7.8444
7:43:26,26.28,35.0287,7.454,80.6095,22.9674,25.74,2.07718,5.445508,258.5101479,-4.8132,8.2404
7:43:27,26.2689,35.0403,7.498,80.6827,22.9796,81,2.07192,5.445954,252.4777302,-5.2524,8.856
7:43:28,26.2719,35.0379,7.364,80.6583,22.9769,1.39,2.2089,5.445929,248.7677332,-4.8996,9.0324
7:43:29,26.2798,35.0312,7.111,80.7071,22.9693,1.39,2.36604,5.445819,247.7832369,-4.284,9.9576
7:43:30,26.2805,35.0294,6.939,80.6827,22.9678,1.44,2.51245,5.445651,249.7117396,-4.1976,10.0872
7:43:31,26.2755,35.0332,7.028,80.7315,22.9722,1.51,2.60001,5.445634,251.9303194,-6.1776,10.0872
7:43:32,26.281,35.0299,7.267,80.7803,22.968,1.47,2.60983,5.445769,255.7521161,-6.3504,9.738
7:43:33,26.2787,35.0302,7.401,80.7559,22.969,64.49,2.61045,5.445584,256.2157948,-7.1424,8.9892
7:43:34,26.2849,35.0258,7.326,80.7071,22.9637,42.27,2.61322,5.445626,255.6407986,-7.0992,9.5616
7:43:35,26.2856,35.0257,7.184,80.7071,22.9634,83.98,2.59528,5.445685,253.9291257,-7.0992,10.4832
7:43:36,26.2799,35.0308,7.161,80.7071,22.969,22.88,2.56165,5.445777,254.5449904,-6.7896,10.1772
